poinew_1,poinew_2,poinew_3
2.059028,-15.20892,-0.2678944
0.707414,-5.232144,1.414705
0.8174731,-6.1023,-1.649713
0.8384501,-6.2672,0.110369
0.8167933,-6.11344,-1.42394
0.8196728,-6.134992,0.3243783
0.8153099,-6.110466,-1.198281
0.818696,-6.144018,0.542283
0.8132479,-6.111278,-0.976464
0.8203594,-6.172962,0.7646083
0.8143206,-6.135716,-0.7599773
0.8178719,-6.162475,0.9845986
2.015203,-15.20445,-1.34185
0.8181851,-6.181382,1.212019
0.8343999,-6.312354,-0.3336941
0.8018335,-6.074143,1.414492
2.007014,-15.20377,-0.267685
0.6900595,-5.234461,1.414705
0.7966666,-6.108948,-1.650748
0.8153352,-6.2521,0.1100549
0.7942508,-6.098723,-1.419891
0.7977374,-6.133854,0.324169
0.7929646,-6.105487,-1.196754
0.7972443,-6.146838,0.542283
0.7922152,-6.108064,-0.9755254
0.7968253,-6.152025,0.7616835
0.7934598,-6.134446,-0.7594898
0.7971141,-6.171169,0.9855372
1.960588,-15.19953,-1.340804
0.7976821,-6.184062,1.212019
0.8058083,-6.255659,-0.3305539
0.7804431,-6.067105,1.412243
1.952911,-15.20275,-0.2675454
0.6715384,-5.234922,1.414187
0.7747563,-6.11566,-1.651783
0.7895659,-6.241297,0.1098105
0.7703397,-6.097861,-1.418991
0.7726793,-6.124982,0.3235409
0.7723014,-6.121987,-1.199425
0.7754565,-6.155649,0.542806
0.7707279,-6.12674,-0.9780284
0.7731974,-6.155039,0.7616835
0.7698994,-6.137447,-0.7594898
0.7726761,-6.168304,0.9845986
1.90437,-15.20266,-1.340455
0.7736883,-6.185131,1.211637
0.7807921,-6.250779,-0.3301352
0.7547293,-6.05072,1.407744
1.896005,-15.22204,-0.2677548
0.6511943,-5.235545,1.41367
0.7531683,-6.116409,-1.651266
0.7675315,-6.242031,0.1097756
0.7497611,-6.106315,-1.420341
0.751295,-6.127643,0.3235409
0.749494,-6.112954,-1.197136
0.7539645,-6.158319,0.542806
0.7510154,-6.143119,-0.9802185
0.7521884,-6.161641,0.7621709
0.7489513,-6.144038,-0.7599773
0.7501858,-6.16312,0.9833472
0.7694059,-6.321022,-0.5570995
0.7530408,-6.19559,1.213164
0.7618548,-6.277259,-0.3313913
0.7338388,-6.055252,1.408194
1.839977,-15.20474,-0.267336
0.6331458,-5.239704,1.414187
0.7299781,-6.103655,-1.647125
0.7438409,-6.228787,0.1094964
0.730288,-6.124376,-1.42394
0.7313169,-6.142128,0.324169
